Geo,Year,Geo_ID,PUMS_Column,PUMS_Estimate,PUMS_MOE,ACS_Estimate,ACS_MOE,Difference
councildist_2023,2023,45,AGEP65 to 74 years_E,17904.0,527.0915627025843,19581.0,894.0,-1677.0
councildist_2023,2023,48,AGEP65 to 74 years_E,21281.0,910.9501266252024,23438.0,1130.0,-2157.0
councildist_2023,2023,4,AGEP75 to 84 years_E,12073.0,878.3233245879951,15775.0,1238.0,-3702.0
councildist_2023,2023,31,AGEP75 to 84 years_E,9521.0,681.7295993990357,7625.0,643.0,1896.0
councildist_2023,2023,33,AGEP75 to 84 years_E,5463.0,465.2342231005725,4301.0,495.0,1162.0
councildist_2023,2023,44,AGEP75 to 84 years_E,6358.0,419.05619161289474,5205.0,451.0,1153.0
councildist_2023,2023,31,AGEP85 years and over_E,4173.0,411.2738768967826,3148.0,389.0,1025.0
councildist_2023,2023,33,AGEPUnder 5 years_E,13664.0,819.8655662940636,17628.0,1290.0,-3964.0
councildist_2023,2023,34,AGEPUnder 5 years_E,11759.0,777.7004811402522,9351.0,978.0,2408.0
councildist_2023,2023,36,AGEPUnder 5 years_E,11195.0,892.0733578198714,9099.0,999.0,2096.0
councildist_2023,2023,44,AGEPUnder 5 years_E,16104.0,697.076558960342,20721.0,1110.0,-4617.0
councildist_2023,2023,2,AGE_CAT65 and Over_E,32735.0,1090.989965111659,29009.0,1685.0,3726.0
councildist_2023,2023,4,AGE_CAT65 and Over_E,35720.0,1592.8277220449515,41777.0,2052.0,-6057.0
councildist_2023,2023,13,AGE_CAT65 and Over_E,30986.0,1218.7890993438746,28646.0,1031.0,2340.0
councildist_2023,2023,21,AGE_CAT65 and Over_E,23952.0,1156.9275857214484,21112.0,1410.0,2840.0
councildist_2023,2023,23,AGE_CAT65 and Over_E,34159.0,979.4073010573404,39929.0,1818.0,-5770.0
councildist_2023,2023,25,AGE_CAT65 and Over_E,23723.0,1119.3723264682797,27132.0,1381.0,-3409.0
councildist_2023,2023,31,AGE_CAT65 and Over_E,31486.0,1148.7509701071867,25981.0,1116.0,5505.0
councildist_2023,2023,32,AGE_CAT65 and Over_E,27452.0,992.8513271122828,30396.0,1382.0,-2944.0
councildist_2023,2023,33,AGE_CAT65 and Over_E,18181.0,795.3556336057002,14710.0,848.0,3471.0
councildist_2023,2023,45,AGE_CAT65 and Over_E,29546.0,660.9592119981288,31919.0,1029.0,-2373.0
councildist_2023,2023,48,AGE_CAT65 and Over_E,38445.0,1103.89541286076,42606.0,1254.0,-4161.0
councildist_2023,2023,2,AGE_CATUnder 18_E,19078.0,1083.2469824489915,16335.0,1348.0,2743.0
councildist_2023,2023,25,AGE_CATUnder 18_E,35738.0,1584.964931624199,32239.0,1852.0,3499.0
councildist_2023,2023,33,AGE_CATUnder 18_E,37036.0,1699.0130943387958,46507.0,2067.0,-9471.0
councildist_2023,2023,34,AGE_CATUnder 18_E,35610.0,1639.7868980204903,29870.0,1956.0,5740.0
councildist_2023,2023,36,AGE_CATUnder 18_E,36538.0,1753.4255815344757,31048.0,1811.0,5490.0
councildist_2023,2023,40,AGE_CATUnder 18_E,37931.0,1336.314451008366,32803.0,1846.0,5128.0
councildist_2023,2023,44,AGE_CATUnder 18_E,54562.0,1907.69661144216,65446.0,2496.0,-10884.0
councildist_2023,2023,48,AGE_CATUnder 18_E,39008.0,1811.4494045214071,35017.0,1660.0,3991.0
councildist_2023,2023,33,AGE_U1818 and Over_E,139208.0,2110.5102168879844,130185.0,3499.0,9023.0
councildist_2023,2023,44,AGE_U1818 and Over_E,118934.0,1961.7358766383425,107919.0,3346.0,11015.0
councildist_2023,2023,44,BBAND1_E,45139.0,810.5130794018398,41403.0,1225.0,3736.0
councildist_2023,2023,1,CIT1_E,124268.0,3550.9306791886584,114327.0,3172.0,9941.0
councildist_2023,2023,2,CIT1_E,121383.0,3100.9545377190125,130840.0,3140.0,-9457.0
councildist_2023,2023,19,CIT1_E,78364.0,2016.5669883760545,95872.0,2565.0,-17508.0
councildist_2023,2023,20,CIT1_E,73134.0,2384.5805142239237,54202.0,2121.0,18932.0
councildist_2023,2023,23,CIT1_E,90708.0,1734.5810714847514,82760.0,2327.0,7948.0
councildist_2023,2023,32,CIT1_E,89982.0,2236.989016756502,102380.0,2612.0,-12398.0
councildist_2023,2023,33,CIT1_E,130438.0,2888.0923130181677,138000.0,2156.0,-7562.0
councildist_2023,2023,37,CIT1_E,106968.0,2747.654940643639,97949.0,2816.0,9019.0
councildist_2023,2023,38,CIT1_E,102955.0,2288.0610512026615,93960.0,2705.0,8995.0
councildist_2023,2023,43,CIT1_E,84340.0,2337.1087063360337,70425.0,2222.0,13915.0
councildist_2023,2023,44,CIT1_E,106044.0,2811.263084655074,119809.0,2861.0,-13765.0
councildist_2023,2023,47,CIT1_E,88556.0,2629.6768959419614,97509.0,2155.0,-8953.0
councildist_2023,2023,48,CIT1_E,83469.0,2906.424156653998,68988.0,2279.0,14481.0
councildist_2023,2023,1,CIT2_E,5678.0,598.0494360936984,4372.0,585.0,1306.0
councildist_2023,2023,33,CIT2_E,7849.0,750.4149041773971,5375.0,813.0,2474.0
councildist_2023,2023,34,CIT2_E,7627.0,656.9419314270484,9383.0,894.0,-1756.0
councildist_2023,2023,37,CIT2_E,6235.0,691.4660950376666,8048.0,955.0,-1813.0
councildist_2023,2023,1,CIT4_E,27136.0,1519.470985144847,35501.0,2713.0,-8365.0
councildist_2023,2023,2,CIT4_E,28251.0,1267.487615215493,21371.0,1670.0,6880.0
councildist_2023,2023,13,CIT4_E,30940.0,1842.19898017524,27116.0,1637.0,3824.0
councildist_2023,2023,19,CIT4_E,52399.0,1769.8304731788617,47656.0,2191.0,4743.0
councildist_2023,2023,21,CIT4_E,46872.0,1842.277409154728,38537.0,2190.0,8335.0
councildist_2023,2023,23,CIT4_E,54253.0,1446.8302682683218,61378.0,2744.0,-7125.0
councildist_2023,2023,25,CIT4_E,46184.0,1776.880363885202,53034.0,2652.0,-6850.0
councildist_2023,2023,32,CIT4_E,47177.0,1547.7707914140242,40693.0,2187.0,6484.0
councildist_2023,2023,33,CIT4_E,20398.0,1023.0318330989292,17010.0,1110.0,3388.0
councildist_2023,2023,44,CIT4_E,37021.0,1192.4333438593726,29877.0,1613.0,7144.0
councildist_2023,2023,47,CIT4_E,53290.0,1797.841796125051,48614.0,2066.0,4676.0
councildist_2023,2023,48,CIT4_E,61656.0,2009.7491537804913,72031.0,2390.0,-10375.0
councildist_2023,2023,2,CIT5_E,21047.0,1427.456850557673,17736.0,1717.0,3311.0
councildist_2023,2023,19,CIT5_E,36146.0,1793.731703166162,23711.0,1748.0,12435.0
councildist_2023,2023,20,CIT5_E,43370.0,2361.2643036295035,58184.0,3321.0,-14814.0
councildist_2023,2023,21,CIT5_E,56757.0,2508.5277370511503,63303.0,3483.0,-6546.0
councildist_2023,2023,22,CIT5_E,29229.0,2120.1302468768276,25288.0,1766.0,3941.0
councildist_2023,2023,32,CIT5_E,26187.0,1191.9521385941232,19724.0,1547.0,6463.0
councildist_2023,2023,37,CIT5_E,21760.0,1704.108573703075,26078.0,2130.0,-4318.0
councildist_2023,2023,38,CIT5_E,34818.0,1672.0834477155297,41949.0,2419.0,-7131.0
councildist_2023,2023,39,CIT5_E,20961.0,1223.0896374845763,15274.0,1339.0,5687.0
councildist_2023,2023,43,CIT5_E,38120.0,1972.8540209668424,49405.0,2722.0,-11285.0
councildist_2023,2023,44,CIT5_E,25690.0,1154.10418205405,19295.0,1549.0,6395.0
councildist_2023,2023,47,CIT5_E,27642.0,1390.1354094676926,22862.0,1780.0,4780.0
councildist_2023,2023,48,CIT5_E,27096.0,1645.6320889364483,31432.0,2059.0,-4336.0
councildist_2023,2023,9,COMPUTER1_E,72018.0,1368.3432670141096,75323.0,1760.0,-3305.0
councildist_2023,2023,13,COMPUTER1_E,56238.0,1168.7826841263377,58953.0,1306.0,-2715.0
councildist_2023,2023,19,COMPUTER1_E,57687.0,1055.9415630590402,60185.0,1392.0,-2498.0
councildist_2023,2023,29,COMPUTER1_E,63682.0,1375.1237851904075,66666.0,1440.0,-2984.0
councildist_2023,2023,31,COMPUTER1_E,48942.0,966.3998767848676,51265.0,1304.0,-2323.0
councildist_2023,2023,39,COMPUTER1_E,71674.0,1467.630141995888,75039.0,1709.0,-3365.0
councildist_2023,2023,45,COMPUTER1_E,53930.0,838.2957173525111,56401.0,1225.0,-2471.0
councildist_2023,2023,1,DECADE5_E,19572.0,1347.9644797405365,24813.0,2369.0,-5241.0
councildist_2023,2023,2,DECADE5_E,20832.0,1081.7641166757312,16508.0,1397.0,4324.0
councildist_2023,2023,21,DECADE5_E,26342.0,1427.9430255776674,22675.0,1569.0,3667.0
councildist_2023,2023,33,DECADE5_E,14415.0,778.7039962874384,10456.0,859.0,3959.0
councildist_2023,2023,38,DECADE5_E,18785.0,982.3916016631638,21298.0,1226.0,-2513.0
councildist_2023,2023,44,DECADE5_E,16687.0,725.029223040549,13579.0,943.0,3108.0
councildist_2023,2023,45,DECADE5_E,29241.0,876.8289171674252,31628.0,1384.0,-2387.0
councildist_2023,2023,1,DECADE6_E,9654.0,970.0054998916684,12381.0,1433.0,-2727.0
councildist_2023,2023,19,DECADE6_E,19558.0,1179.5527575176625,14391.0,1088.0,5167.0
councildist_2023,2023,20,DECADE6_E,20790.0,1516.5392197759063,25255.0,1878.0,-4465.0
councildist_2023,2023,23,DECADE6_E,17255.0,773.6251658518021,20804.0,1420.0,-3549.0
councildist_2023,2023,32,DECADE6_E,19039.0,1024.7683947975331,15543.0,1223.0,3496.0
councildist_2023,2023,38,DECADE6_E,15927.0,885.4110341263461,19102.0,1386.0,-3175.0
councildist_2023,2023,44,DECADE6_E,16370.0,1014.3049429090902,12963.0,1098.0,3407.0
councildist_2023,2023,47,DECADE6_E,23695.0,1233.9902787887258,20058.0,1327.0,3637.0
councildist_2023,2023,48,DECADE6_E,28999.0,1396.5518697434834,34304.0,1701.0,-5305.0
councildist_2023,2023,19,DECADE7_E,19311.0,1195.99741794994,15622.0,1309.0,3689.0
councildist_2023,2023,20,DECADE7_E,22450.0,1594.2355414370911,27347.0,2093.0,-4897.0
councildist_2023,2023,32,DECADE7_E,17395.0,882.6232113458406,14574.0,1217.0,2821.0
councildist_2023,2023,37,DECADE7_E,12820.0,939.4702035795224,15855.0,1490.0,-3035.0
councildist_2023,2023,38,DECADE7_E,19662.0,1096.8409937291026,22432.0,1461.0,-2770.0
councildist_2023,2023,39,DECADE7_E,11052.0,799.8276099870981,8912.0,987.0,2140.0
councildist_2023,2023,42,DECADE7_E,14320.0,1183.563139025187,11852.0,1228.0,2468.0
